Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
137,Kevin Durant,PF,34,TOT,47,1672,,,,70%,30%,7.8,9.1,91,43,51,13,139,7,554,48,25
137,Kevin Durant,PF,34,BRK,39,1403,,,,65%,35%,6.7,8.5,78,39,48,11,120,6,490,44,21
137,Kevin Durant,PF,34,PHO,8,269,,,2%,94%,4%,13.6,12.6,13,4,3,2,19,1,64,4,4
138,Jalen Duren,C,19,DET,67,1670,,,,4%,96%,-8.4,0.1,33,16,97,31,77,2,174,17,35
139,Tari Eason,PF,21,HOU,82,1767,,,22%,77%,1%,-4.0,7.9,39,28,99,15,81,3,213,21,67
140,Anthony Edwards,SG,21,MIN,79,2842,1%,65%,32%,3%,,1.0,4.0,127,88,72,22,206,5,861,64,59
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
141,Kessler Edwards,SF,22,TOT,36,385,,18%,66%,15%,,1.7,-0.4,6,4,23,2,3,4,60,0,5
141,Kessler Edwards,SF,22,BRK,14,79,,,37%,62%,1%,-1.9,-3.2,4,0,2,0,1,0,4,0,1
141,Kessler Edwards,SF,22,SAC,22,306,,23%,74%,3%,,2.6,0.3,2,4,21,2,2,4,56,0,4
142,Keon Ellis,SG,23,SAC,16,71,3%,65%,32%,,,-16.8,-19.5,1,0,8,0,2,0,14,0,0
143,Joel Embiid,C,28,PHI,66,2284,,,,,100%,9.1,10.2,75,89,109,32,354,3,702,75,90
144,Drew Eubanks,C,25,POR,78,1584,,,,3%,97%,-3.0,1.1,26,13,110,20,47,12,262,11,9
145,Bruno Fernando,C,24,TOT,39,405,,,,,100%,-8.3,-1.0,7,5,36,10,23,1,77,4,14
